Day-ahead demand forecast for Seattle City Light (SCL) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3389916&sdid=EBA.SCL-ALL.DF.H
22:07:08 GMT-0500 (CDT)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.SCL-ALL.DF.H megawatthours
02/14/2021 12H,1179
02/14/2021 11H,1180
02/14/2021 10H,1183
02/14/2021 09H,1222
02/14/2021 08H,1198
02/14/2021 07H,1264
02/14/2021 06H,1327
02/14/2021 05H,1384
02/14/2021 04H,1431
02/14/2021 03H,1460
02/14/2021 02H,1417
02/14/2021 01H,1348
02/14/2021 00H,1303
02/13/2021 23H,1323
02/13/2021 22H,1360
02/13/2021 21H,1403
02/13/2021 20H,1429
02/13/2021 19H,1448
02/13/2021 18H,1449
02/13/2021 17H,1402
02/13/2021 16H,1322
02/13/2021 15H,1262
02/13/2021 14H,1228
02/13/2021 13H,1213
02/13/2021 12H,1213
02/13/2021 11H,1219
02/13/2021 10H,1225
02/13/2021 09H,1247
02/13/2021 08H,1191
02/13/2021 07H,1250
02/13/2021 06H,1319
02/13/2021 05H,1390
02/13/2021 04H,1448
02/13/2021 03H,1498
02/13/2021 02H,1503
02/13/2021 01H,1425
02/13/2021 00H,1393
02/12/2021 23H,1399
02/12/2021 22H,1424
02/12/2021 21H,1464
02/12/2021 20H,1479
02/12/2021 19H,1510
02/12/2021 18H,1541
02/12/2021 17H,1558
02/12/2021 16H,1527
02/12/2021 15H,1428
02/12/2021 14H,1295
02/12/2021 13H,1199
02/12/2021 12H,1156
02/12/2021 11H,1143
02/12/2021 10H,1143
02/12/2021 09H,1166
02/12/2021 08H,1181
02/12/2021 07H,1267
02/12/2021 06H,1365
02/12/2021 05H,1440
02/12/2021 04H,1492
02/12/2021 03H,1529
02/12/2021 02H,1508
02/12/2021 01H,1442
02/12/2021 00H,1404
02/11/2021 23H,1403
02/11/2021 22H,1421
02/11/2021 21H,1445
02/11/2021 20H,1452
02/11/2021 19H,1465
02/11/2021 18H,1490
02/11/2021 17H,1512
02/11/2021 16H,1491
02/11/2021 15H,1380
02/11/2021 14H,1223
02/11/2021 13H,1107
02/11/2021 12H,1049
02/11/2021 11H,1029
02/11/2021 10H,1029
02/11/2021 09H,1054
02/11/2021 08H,1113
02/11/2021 07H,1193
02/11/2021 06H,1290
02/11/2021 05H,1364
02/11/2021 04H,1412
02/11/2021 03H,1439
02/11/2021 02H,1414
02/11/2021 01H,1333
02/11/2021 00H,1291
02/10/2021 23H,1298
02/10/2021 22H,1319
02/10/2021 21H,1353
02/10/2021 20H,1373
02/10/2021 19H,1398
02/10/2021 18H,1435
02/10/2021 17H,1463
02/10/2021 16H,1453
02/10/2021 15H,1353
02/10/2021 14H,1204
02/10/2021 13H,1093
02/10/2021 12H,1040
02/10/2021 11H,1024
02/10/2021 10H,1024
02/10/2021 09H,1054
02/10/2021 08H,1094
02/10/2021 07H,1183
02/10/2021 06H,1282
02/10/2021 05H,1356
02/10/2021 04H,1402
02/10/2021 03H,1435
02/10/2021 02H,1403
02/10/2021 01H,1321
02/10/2021 00H,1280
02/9/2021 23H,1279
02/9/2021 22H,1305
02/9/2021 21H,1338
02/9/2021 20H,1356
02/9/2021 19H,1372
02/9/2021 18H,1404
02/9/2021 17H,1429
02/9/2021 16H,1419
02/9/2021 15H,1313
02/9/2021 14H,1165
02/9/2021 13H,1059
02/9/2021 12H,1008
02/9/2021 11H,993
02/9/2021 10H,994
02/9/2021 09H,1024
02/9/2021 08H,1063
02/9/2021 07H,1143
02/9/2021 06H,1230
02/9/2021 05H,1304
02/9/2021 04H,1360
02/9/2021 03H,1390
02/9/2021 02H,1360
02/9/2021 01H,1270
02/9/2021 00H,1243
02/8/2021 23H,1236
02/8/2021 22H,1273
02/8/2021 21H,1309
02/8/2021 20H,1321
02/8/2021 19H,1336
02/8/2021 18H,1362
02/8/2021 17H,1386
02/8/2021 16H,1374
02/8/2021 15H,1274
02/8/2021 14H,1130
02/8/2021 13H,1027
02/8/2021 12H,974
02/8/2021 11H,956
02/8/2021 10H,955
02/8/2021 09H,987
02/8/2021 08H,1034
02/8/2021 07H,1111
02/8/2021 06H,1192
02/8/2021 05H,1253
02/8/2021 04H,1282
02/8/2021 03H,1301
02/8/2021 02H,1265
02/8/2021 01H,1203
02/8/2021 00H,1172
02/7/2021 23H,1165
02/7/2021 22H,1174
02/7/2021 21H,1197
02/7/2021 20H,1187
02/7/2021 19H,1176
02/7/2021 18H,1152
02/7/2021 17H,1094
02/7/2021 16H,1018
02/7/2021 15H,967
02/7/2021 14H,940
02/7/2021 13H,921
02/7/2021 12H,916
02/7/2021 11H,922
02/7/2021 10H,929
02/7/2021 09H,971
02/7/2021 08H,1008
02/7/2021 07H,1062
02/7/2021 06H,1119
02/7/2021 05H,1174
02/7/2021 04H,1214
02/7/2021 03H,1241
02/7/2021 02H,1217
02/7/2021 01H,1146
02/7/2021 00H,1118
02/6/2021 23H,1109
02/6/2021 22H,1140
02/6/2021 21H,1175
02/6/2021 20H,1185
02/6/2021 19H,1188
02/6/2021 18H,1170
02/6/2021 17H,1117
02/6/2021 16H,1043
02/6/2021 15H,977
02/6/2021 14H,938
02/6/2021 13H,913
02/6/2021 12H,907
02/6/2021 11H,914
02/6/2021 10H,922
02/6/2021 09H,961
02/6/2021 08H,1017
02/6/2021 07H,1087
02/6/2021 06H,1155
02/6/2021 05H,1219
02/6/2021 04H,1271
02/6/2021 03H,1323
02/6/2021 02H,1334
02/6/2021 01H,1272
02/6/2021 00H,1248
02/5/2021 23H,1239
02/5/2021 22H,1253
02/5/2021 21H,1275
02/5/2021 20H,1285
02/5/2021 19H,1297
02/5/2021 18H,1306
02/5/2021 17H,1304
02/5/2021 16H,1267
02/5/2021 15H,1165
02/5/2021 14H,1032
02/5/2021 13H,944
02/5/2021 12H,907
02/5/2021 11H,904
02/5/2021 10H,910
02/5/2021 09H,944
02/5/2021 08H,1033
02/5/2021 07H,1120
02/5/2021 06H,1211
02/5/2021 05H,1284
